seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr6	26020607	26021138	532	*	X122	8359	26021907	26022278	372	+	768	upstream	768	H4C1
chr6	26045612	26045720	109	*	X123	3018	26043455	26043885	431	-	1726	upstream	1726	H2BC3
chr6	26045612	26045720	109	*	X123	8352	26045639	26046097	459	+	0	overlapStart	0	H3C3
chr6	26045762	26045868	107	*	X124	3018	26043455	26043885	431	-	1876	upstream	1876	H2BC3
chr6	26045762	26045868	107	*	X124	8352	26045639	26046097	459	+	0	inside	122	H3C3
chr6	26225428	26225740	313	*	X125	8353	26225383	26225844	462	+	0	inside	44	H3C6
chr6	26273173	26273316	144	*	X126	8346	26273204	26273640	437	+	0	overlapStart	0	H2BC10
chr6	26273173	26273316	144	*	X126	8355	26271146	26271612	467	-	1560	upstream	1560	H3C8
chr6	79944607	79944649	43	*	X131	9324	79910962	79944455	33494	-	151	upstream	151	HMGN3
chr7	5111454	5111668	215	*	X140	389458	5111691	5112854	1164	+	22	upstream	22	RBAKDN
chr7	12726067	12726099	33	*	X141	10124	12726452	12730558	4107	+	352	upstream	352	ARL4A
chr7	100025749	100025829	81	*	X151	56257	100026413	100031749	5337	+	583	upstream	583	MEPCE
chr7	130132278	130132369	92	*	X154	317751	130126898	130131013	4116	-	1264	upstream	1264	MESTIT1
chr7	139024674	139024732	59	*	X157	100996928	139025878	139108203	82326	+	1145	upstream	1145	FMC1-LUC7L2
chr7	139024674	139024732	59	*	X157	154791	139025878	139031065	5188	+	1145	upstream	1145	FMC1
chr7	139024674	139024732	59	*	X157	51631	139025105	139108203	83099	+	372	upstream	372	LUC7L2
chr7	140715027	140715042	16	*	X158	51650	140705961	140714781	8821	-	245	upstream	245	MRPS33
chr8	145912994	145913219	226	*	X183	80728	145754563	145911194	156632	-	1799	upstream	1799	ARHGAP39
chr9	37119979	37119982	4	*	X184	84186	37120469	37358145	237677	+	486	upstream	486	ZCCHC7
chr10	4868086	4868249	164	*	X200	83592	4868369	4890251	21883	+	119	upstream	119	AKR1E2
chr10	54074569	54074577	9	*	X203	100506939	54056608	54073888	17281	-	680	upstream	680	PRKG1-AS1
chr10	64892718	64892755	38	*	X207	29982	64893007	64914786	21780	+	251	upstream	251	NRBF2
chr10	65280508	65280815	308	*	X208	221035	65281123	65384883	103761	+	307	upstream	307	REEP3
chr10	65280837	65280852	16	*	X209	221035	65281123	65384883	103761	+	270	upstream	270	REEP3
chr10	97321668	97321679	12	*	X211	10580	97071530	97321171	249642	-	496	upstream	496	SORBS1
chr12	75905660	75905784	125	*	X239	11103	75891419	75905418	14000	-	241	upstream	241	KRR1
chr12	75905799	75905822	24	*	X240	11103	75891419	75905418	14000	-	380	upstream	380	KRR1
chr14	45722618	45722834	217	*	X246	55320	45672393	45722605	50213	-	12	upstream	12	MIS18BP1
chr15	83654471	83654499	29	*	X256	83640	83654955	83659809	4855	+	455	upstream	455	RAMAC
chr15	102520949	102520982	34	*	X261	100288486	102516761	102519296	2536	-	1652	upstream	1652	DDX11L9
chr15	102521023	102521122	100	*	X262	100288486	102516761	102519296	2536	-	1726	upstream	1726	DDX11L9
chr16	10479547	10479777	231	*	X268	80063	10479912	10577495	97584	+	134	upstream	134	ATF7IP2
chr17	57642632	57642834	203	*	X282	79665	57642886	57685713	42828	+	51	upstream	51	DHX40
chr18	22006301	22006324	24	*	X295	55364	22006609	22033494	26886	+	284	upstream	284	IMPACT
chr18	22006351	22006351	1	*	X296	55364	22006609	22033494	26886	+	257	upstream	257	IMPACT
chr19	10947355	10947427	73	*	X311	11018	10943114	10946983	3870	-	371	upstream	371	TMED1
chr19	33166889	33167055	167	*	X323	84079	33087907	33166102	78196	-	786	upstream	786	ANKRD27
chr19	37862352	37862457	106	*	X327	84503	37862059	37883966	21908	+	0	inside	292	ZNF527
chr19	47633832	47633851	20	*	X330	10055	47634080	47713893	79814	+	228	upstream	228	SAE1
chr20	16710368	16710452	85	*	X337	6629	16710609	16722417	11809	+	156	upstream	156	SNRPB2
chr21	37442196	37442213	18	*	X357	873	37442285	37445464	3180	+	71	upstream	71	CBR1
chr21	39601218	39601343	126	*	X362	3772	39601837	39673746	71910	+	493	upstream	493	KCNJ15
chrX	129402985	129403016	32	*	X367	55609	129336673	129402922	66250	-	62	upstream	62	ZNF280C
